0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:20 +0530] "GET / HTTP/1.1" 200 4457
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /map.png HTTP/1.1" 200 145368
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:21 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /admin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /login HTTP/1.1" 200 2253
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:25 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "POST /login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /admin HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:32 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /upload HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:34 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /list HTTP/1.1" 200 3182
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:35 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /edit/1 HTTP/1.1" 200 5601
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:37 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /upload HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /css/bootstrap-theme.min.css HTTP/1.1" 200 23414
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /css/style.css HTTP/1.1" 404 128
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /css/bootstrap.min.css HTTP/1.1" 200 121265
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /js/jquery-1.12.1.min.js HTTP/1.1" 200 97408
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /js/pagevalue.js HTTP/1.1" 200 921
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:39 +0530] "GET /js/bootstrap.min.js HTTP/1.1" 200 36874
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:44 +0530] "POST /uploaddata HTTP/1.1" 403 1192
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:52:51 +0530] "GET /upload HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:54:47 +0530] "POST /uploaddata HTTP/1.1" 403 1192
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:54:56 +0530] "GET /upload HTTP/1.1" 200 3141
0:0:0:0:0:0:0:1 - - [17/Mar/2016:09:57:57 +0530] "GET /medical HTTP/1.1" 200 5085
